User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Test_Purchase
1000004,P00128942,1,4,7,1,2,1,1,11.0,0.0,13041.110033483432
1000009,P00113442,1,2,17,2,0,0,3,5.0,0.0,10180.080480372826
1000010,P00288442,0,3,1,1,4,1,5,14.0,0.0,6146.546270344113
1000010,P00145342,0,3,1,1,4,1,4,9.0,0.0,2179.1876336768423
1000011,P00053842,0,2,1,2,1,0,4,5.0,12.0,2519.9004662004663
1000013,P00350442,1,4,1,2,3,1,2,3.0,15.0,10906.068720379148
1000013,P00155442,1,4,1,2,3,1,1,11.0,15.0,13518.16059479554
1000013,P0094542,1,4,1,2,3,1,2,4.0,9.0,10588.777835723598
1000015,P00161842,1,2,7,0,1,0,10,13.0,16.0,18714.953012048194
1000022,P00067942,1,1,15,0,4,0,5,14.0,0.0,6146.546270344113
1000026,P00046742,1,2,7,1,2,1,1,2.0,15.0,12922.596573269933
1000026,P00040042,1,2,7,1,2,1,5,0.0,0.0,6146.546270344113
1000026,P00196542,1,2,7,1,2,1,5,8.0,14.0,6146.546270344113
1000026,P00004542,1,2,7,1,2,1,5,8.0,0.0,6146.546270344113
1000028,P00159542,0,2,1,2,2,1,10,15.0,16.0,17936.24512534819
1000029,P00111542,1,3,7,2,1,0,2,17.0,0.0,14043.402912621359
1000033,P00121042,1,4,3,0,1,1,15,0.0,0.0,14629.755244755244
1000033,P00344442,1,4,3,0,1,1,5,8.0,14.0,6146.546270344113
1000034,P00265242,0,1,0,0,0,0,5,8.0,0.0,6146.546270344113
1000035,P0096642,1,4,1,2,4,1,2,3.0,4.0,10193.129375951294
1000036,P00303042,1,2,3,1,0,0,5,0.0,0.0,6146.546270344113
1000036,P00059642,1,2,3,1,0,0,1,2.0,3.0,13041.110033483432
1000042,P00030842,1,2,8,2,0,1,1,2.0,15.0,13683.083116883117
1000045,P00346442,0,4,16,0,1,1,1,2.0,14.0,12922.596573269933
1000045,P00357242,0,4,16,0,1,1,5,0.0,0.0,6146.546270344113
1000045,P00284742,0,4,16,0,1,1,5,12.0,0.0,6146.546270344113
1000048,P00110842,1,2,4,1,3,1,1,2.0,5.0,13440.045421352417
1000048,P00251642,1,2,4,1,3,1,1,2.0,4.0,8295.136612021857
1000053,P00136742,1,2,0,1,1,0,1,14.0,16.0,12922.596573269933
1000053,P0097342,1,2,0,1,1,0,1,15.0,16.0,14222.4782800441
1000053,P00168242,1,2,0,1,1,0,5,16.0,0.0,6146.546270344113
1000053,P00354342,1,2,0,1,1,0,5,11.0,0.0,6146.546270344113
1000053,P00105042,1,2,0,1,1,0,5,9.0,0.0,6146.546270344113
1000059,P00177442,0,5,1,1,4,1,1,6.0,8.0,15086.260009647853
1000062,P00119242,0,3,3,0,1,0,18,0.0,0.0,2846.109634551495
1000063,P00260242,1,1,4,2,2,0,5,16.0,0.0,6460.430641996075
1000063,P00113642,1,1,4,2,2,0,8,0.0,0.0,7674.254365680567
1000065,P00000142,1,3,12,2,2,1,3,4.0,5.0,10180.080480372826
1000068,P00216342,1,1,4,0,0,0,3,4.0,5.0,9741.893831936384
1000069,P00157542,0,2,1,0,1,0,8,14.0,0.0,7359.612841842921
1000073,P00112642,1,1,4,0,4,0,1,2.0,5.0,13440.045421352417
1000078,P0095842,0,4,1,2,0,1,3,4.0,12.0,10180.080480372826
1000080,P00112142,1,6,1,2,3,1,1,2.0,14.0,13518.16059479554
1000081,P00109142,0,2,0,0,1,1,8,17.0,0.0,7990.935300794552
1000081,P00120342,0,2,0,0,1,1,5,17.0,0.0,6146.546270344113
1000082,P00014542,1,2,17,2,2,1,8,0.0,0.0,7674.254365680567
1000090,P00117542,1,6,13,2,1,0,18,0.0,0.0,3044.3128205128205
1000092,P00220442,0,1,4,1,1,0,5,14.0,0.0,6146.546270344113
1000092,P00171542,0,1,4,1,1,0,2,5.0,14.0,10588.777835723598
1000094,P00178242,1,2,17,2,1,0,8,0.0,0.0,7674.254365680567
1005957,P00195942,1,1,20,1,1,1,3,4.0,0.0,9741.893831936384
1005958,P00112542,1,4,14,2,1,0,1,11.0,15.0,13683.083116883117
1005960,P00183242,0,4,0,2,1,1,5,15.0,0.0,6460.430641996075
1005961,P00157142,0,4,0,0,3,0,11,16.0,0.0,4733.236292223095
1005964,P00288942,1,1,5,1,1,0,1,2.0,5.0,13440.045421352417
1005972,P00057942,0,2,20,1,0,0,1,2.0,6.0,13440.045421352417
1005972,P00313542,0,2,20,1,0,0,5,8.0,0.0,6146.546270344113
1005974,P00198842,0,2,1,2,0,1,8,14.0,0.0,7674.254365680567
1005974,P00010342,0,2,1,2,0,1,8,14.0,0.0,7674.254365680567
1005974,P00206342,0,2,1,2,0,1,5,8.0,0.0,6460.430641996075
1005977,P00335042,1,3,1,1,4,0,6,8.0,0.0,15661.569445680221
1005980,P00085342,1,6,1,2,3,0,10,13.0,0.0,20804.76724137931
1005980,P00057942,1,6,1,2,3,0,1,2.0,6.0,14157.590163934427
1005981,P00292042,1,3,7,2,3,0,8,0.0,0.0,7674.254365680567
1005987,P00051442,1,2,16,1,4,1,8,17.0,0.0,7990.935300794552
1005990,P00177442,0,2,20,1,1,1,1,6.0,8.0,15086.260009647853
1005992,P00220442,0,1,4,2,4,0,5,14.0,0.0,6460.430641996075
1005992,P00249642,0,1,4,2,4,0,3,5.0,0.0,9741.893831936384
1005994,P00307542,1,3,1,2,2,1,1,15.0,0.0,13518.16059479554
1005994,P00105142,1,3,1,2,2,1,1,2.0,15.0,13518.16059479554
1005996,P00184242,0,2,0,1,1,1,9,15.0,0.0,15598.45197740113
1005996,P00045342,0,2,0,1,1,1,1,5.0,17.0,12036.58064516129
1006001,P00124642,0,2,7,0,0,1,16,0.0,0.0,14629.755244755244
1006002,P00121142,1,5,0,2,1,1,8,0.0,0.0,7674.254365680567
1006002,P00233542,1,5,0,2,1,1,1,15.0,0.0,13518.16059479554
1006002,P00226342,1,5,0,2,1,1,11,15.0,0.0,4926.696154812767
1006002,P00284842,1,5,0,2,1,1,1,8.0,17.0,15971.307086614173
1006003,P00313342,0,4,17,2,1,0,5,0.0,0.0,6460.430641996075
1006010,P00223542,1,3,0,2,1,0,1,8.0,17.0,15971.307086614173
1006013,P00020342,0,2,20,2,3,0,1,2.0,0.0,13752.711211778029
1006016,P00014842,1,4,1,1,1,1,1,2.0,5.0,13440.045421352417
1006016,P00109542,1,4,1,1,1,1,8,14.0,17.0,7359.612841842921
1006018,P00071442,1,3,1,2,3,0,15,17.0,0.0,18575.484615384616
1006021,P00112542,1,2,12,1,2,1,1,11.0,15.0,12922.596573269933
1006021,P00003442,1,2,12,1,2,1,4,5.0,8.0,2519.9004662004663
1006023,P00262242,1,2,0,2,2,1,1,11.0,16.0,14089.317822651448
1006025,P00161142,0,2,1,1,1,0,11,0.0,0.0,4733.236292223095
1006026,P00110742,1,3,6,2,1,1,1,2.0,8.0,14954.342731108554
1006028,P00162442,1,1,4,0,4,0,1,16.0,0.0,13041.110033483432
1006030,P00129842,1,2,17,2,1,1,6,8.0,15.0,16325.10616691285
1006030,P00241442,1,2,17,2,1,1,2,15.0,0.0,10761.358722358722
1006032,P00252442,1,4,7,0,3,0,8,0.0,0.0,7359.612841842921
1006033,P00127642,1,5,13,1,1,1,1,2.0,15.0,12922.596573269933
1006035,P00135742,0,2,1,2,3,0,6,8.0,0.0,16325.10616691285
1006036,P00255442,0,2,15,1,4,1,8,0.0,0.0,7359.612841842921
1006036,P00118942,0,2,15,1,4,1,8,0.0,0.0,7359.612841842921
1006036,P00254642,0,2,15,1,4,1,5,8.0,0.0,6146.546270344113
1006036,P00031842,0,2,15,1,4,1,1,5.0,12.0,12922.596573269933
1006037,P00124742,0,4,1,2,4,0,10,16.0,0.0,20165.585227272728
1006039,P00316642,0,4,0,1,4,1,4,5.0,0.0,2179.1876336768423
